fact_purchased_orders_link_to_ops,fact_purchased_orders_exposed_order_id,fact_purchased_orders_order_id,dim_users_link_to_ops,dim_users_user_id,fact_purchased_orders_purchased_date,dim_users_created_date,fact_purchased_items_total_base_revenue_excluding_refund,fact_purchased_items_total_estimated_cost
https://ops.curated.com/orders/AgAAACkA6S848wJwR9mgX8oP5pMu1g,31413-60726,urn:order:e92f38f3-0270-47d9-a05f-ca0fe6932ed6,https://ops.curated.com/consumers/AgAAAAEANLOm5C_aQc6tHlSl5WB2lQ,urn:user:34b3a6e4-2fda-41ce-ad1e-54a5e5607695,2022-11-30,2022-11-30,172.5,195.5
https://ops.curated.com/orders/AgAAACkAvzWMNHaHQmmCIvi5nWKCiw,35249-26242,urn:order:bf358c34-7687-4269-8222-f8b99d62828b,https://ops.curated.com/consumers/AgAAAAEA8XgdpKNtSyKUraAanbMakw,urn:user:f1781da4-a36d-4b22-94ad-a01a9db31a93,2022-12-14,2022-12-08,171.65,126.21
https://ops.curated.com/orders/AgAAACkAHxWTeh_kTbOacxwDNuIpaQ,73749-26502,urn:order:1f15937a-1fe4-4db3-9a73-1c0336e22969,https://ops.curated.com/consumers/AgAAAAEA38qxDWXkQ_aFbRh-6HNzng,urn:user:dfcab10d-65e4-43f6-856d-187ee873739e,2022-11-30,2022-11-30,171,85.5
https://ops.curated.com/orders/AgAAACkAfTzBRHb_SPSfQsca5j_pVA,60861-14778,urn:order:7d3cc144-76ff-48f4-9f42-c71ae63fe954,https://ops.curated.com/consumers/AgAAAAEAlhLk6IWsQlSuAwcla3ePvA,urn:user:9612e4e8-85ac-4254-ae03-07256b778fbc,2022-12-31,2022-12-31,170.99,73.95
https://ops.curated.com/orders/AgAAACkAMw45v7qoRk6jDlil52m1DQ,03744-19836,urn:order:330e39bf-baa8-464e-a30e-58a5e769b50d,https://ops.curated.com/consumers/AgAAAAEAPwoUPbymQPixLy0YQXa9lA,urn:user:3f0a143d-bca6-40f8-b12f-2d184176bd94,2022-11-28,2021-10-19,170.99,73.95
https://ops.curated.com/orders/AgAAACkAys1wqp1lSry9ujg1l1M6mw,99641-23764,urn:order:cacd70aa-9d65-4abc-bdba-383597533a9b,https://ops.curated.com/consumers/AgAAAAEAAjF2J5FaT8e4jdkyG2lkhw,urn:user:02317627-915a-4fc7-b88d-d9321b696487,2022-12-28,2022-12-26,170.99,73.95
https://ops.curated.com/orders/AgAAACkAo8meBgjZQS6ScHqcwi7gpA,17485-43057,urn:order:a3c99e06-08d9-412e-9270-7a9cc22ee0a4,https://ops.curated.com/consumers/AgAAAAEAey0Jr7CDQDyF-eJvAQC0HQ,urn:user:7b2d09af-b083-403c-85f9-e26f0100b41d,2022-12-28,2021-11-19,170.99,73.95
https://ops.curated.com/orders/AgAAACkAu8k1vB93SdSzh_Q4RdD46Q,09897-15506,urn:order:bbc935bc-1f77-49d4-b387-f43845d0f8e9,https://ops.curated.com/consumers/AgAAAAEA0tS4ePFuSA-dLI3ciziJPQ,urn:user:d2d4b878-f16e-480f-9d2c-8ddc8b38893d,2022-12-04,2022-12-02,170.98999999999998,233.39
https://ops.curated.com/orders/AgAAACkA67q-mqhbSKWZPzh7ABkCaw,24056-12405,urn:order:ebbabe9a-a85b-48a5-993f-387b0019026b,https://ops.curated.com/consumers/AgAAAAEAg1uZ0d7eQpuA0gKgG9606Q,urn:user:835b99d1-dede-429b-80d2-02a01bdeb4e9,2022-12-08,2022-11-13,170.95,129
https://ops.curated.com/orders/AgAAACkAAIY6NllJTteUqUS0MG5XMQ,89123-90024,urn:order:00863a36-5949-4ed7-94a9-44b4306e5731,https://ops.curated.com/consumers/AgAAAAEA6LYuwY8NQd23nViqO6RBkA,urn:user:e8b62ec1-8f0d-41dd-b79d-58aa3ba44190,2023-01-01,2022-12-01,170.49,196.10153
https://ops.curated.com/orders/AgAAACkAZRZzDGoBRW-vxK9FnNuCVg,10099-95817,urn:order:6516730c-6a01-456f-afc4-af459cdb8256,https://ops.curated.com/consumers/AgAAAAEAKyuUaj1GRvO76BpBiC1kKg,urn:user:2b2b946a-3d46-46f3-bbe8-1a41882d642a,2022-11-28,2020-11-30,170.09,113.4
https://ops.curated.com/orders/AgAAACkARTvDhEHuR7O6V1YMfDz94A,78611-66752,urn:order:453bc384-41ee-47b3-ba57-560c7c3cfde0,https://ops.curated.com/consumers/AgAAAAEAMfULFpoiSeuzI7o41gs8FQ,urn:user:31f50b16-9a22-49eb-b323-ba38d60b3c15,2022-12-22,2022-12-21,170.05,356.92
https://ops.curated.com/orders/AgAAACkAnS1b7vFoRJGj3m6EPVw-tw,11108-35094,urn:order:9d2d5bee-f168-4491-a3de-6e843d5c3eb7,https://ops.curated.com/consumers/AgAAAAEASB-lyv1wQsaYoBFeY753Ig,urn:user:481fa5ca-fd70-42c6-98a0-115e63be7722,2022-12-15,2022-11-19,170.00000000000003,280.47
https://ops.curated.com/orders/AgAAACkAnHCO9nNXT-mhO4rcV3D9Hg,03826-55476,urn:order:9c708ef6-7357-4fe9-a13b-8adc5770fd1e,https://ops.curated.com/consumers/AgAAAAEAiMQ7aNPOTsyL1gebOw-SBw,urn:user:88c43b68-d3ce-4ecc-8bd6-079b3b0f9207,2022-12-19,2022-12-19,170,144.5
https://ops.curated.com/orders/AgAAACkA2K2F8B7wShquSOxmBvW6rA,95594-29082,urn:order:d8ad85f0-1ef0-4a1a-ae48-ec6606f5baac,https://ops.curated.com/consumers/AgAAAAEArTN-1YUhQdWRGROSXPW-gA,urn:user:ad337ed5-8521-41d5-9119-13925cf5be80,2022-12-11,2022-12-11,170,127.5
